car_no,CAR BRAND NAME,car_status,listed,First Listing Date,Sale date,Days
Car No-1149,Brand-C,Not Sold,TRUE,2021-06-18,,
Car No-1150,Brand-J,Not Sold,FALSE,,,
Car No-1151,Brand-K,Sold,TRUE,2020-08-12,2020-09-25,44
Car No-1152,Brand-C,Not Sold,FALSE,,,
Car No-1153,Brand-B,Sold,TRUE,2020-08-14,2020-12-31,139
Car No-1154,Brand-C,Not Sold,FALSE,,,
Car No-1155,Brand-B,Sold,TRUE,2020-08-28,2020-10-17,50
Car No-1156,Brand-C,Sold,TRUE,2020-09-11,2020-10-06,25
Car No-1157,Brand-C,Sold,TRUE,2020-10-03,2021-01-30,119
Car No-1158,Brand-B,Sold,TRUE,2020-10-20,2021-01-27,99
Car No-1159,Brand-K,Sold,TRUE,2020-10-23,2020-12-09,47
Car No-1160,Brand-L,Sold,TRUE,2020-11-24,2021-02-20,88
Car No-1161,Brand-I,Not Sold,TRUE,2020-12-04,,
Car No-1162,Brand-N,Sold,TRUE,2020-12-15,2020-12-28,13
Car No-1163,Brand-I,Sold,TRUE,2020-12-31,2021-01-29,29
Car No-1164,Brand-O,Not Sold,TRUE,2021-01-14,,
Car No-1165,Brand-J,Not Sold,TRUE,2021-02-24,,
Car No-1166,Brand-B,Not Sold,TRUE,2021-03-02,,
Car No-1167,Brand-C,Not Sold,TRUE,2021-03-08,,
Car No-1168,Brand-B,Not Sold,TRUE,2021-03-12,,
Car No-1169,Brand-I,Sold,TRUE,2021-03-17,2021-04-01,15
Car No-1170,Brand-D,Not Sold,TRUE,2021-03-22,,
Car No-1171,Brand-B,Sold,TRUE,2021-03-26,2021-05-12,47
Car No-1172,Brand-C,Sold,TRUE,2021-03-31,2021-05-22,52
Car No-1173,Brand-I,Sold,TRUE,2021-04-03,2021-04-20,17
Car No-1174,Brand-G,Sold,FALSE,,2021-04-26,44312
Car No-1175,Brand-B,Not Sold,TRUE,2021-04-12,,
Car No-1176,Brand-B,Not Sold,TRUE,2021-04-16,,
Car No-1177,Brand-C,Not Sold,TRUE,2021-04-22,,
Car No-1178,Brand-B,Not Sold,TRUE,2021-04-28,,
Car No-1179,Brand-C,Sold,TRUE,2021-05-04,2021-05-20,16
Car No-1180,Brand-I,Not Sold,TRUE,2021-05-19,,
Car No-1181,Brand-D,Not Sold,TRUE,2021-05-16,,
Car No-1182,Brand-C,Not Sold,TRUE,2021-05-24,,
Car No-1183,Brand-B,Not Sold,FALSE,,,
Car No-1184,Brand-I,Not Sold,TRUE,2021-05-31,,
Car No-1185,Brand-I,Not Sold,FALSE,,,
Car No-1186,Brand-I,Not Sold,TRUE,2021-06-17,,
Car No-1187,Brand-I,Not Sold,FALSE,,,
Car No-1188,Brand-C,Sold,TRUE,2020-08-11,2020-12-28,139
Car No-1189,Brand-C,Not Sold,FALSE,,,
Car No-1190,Brand-B,Sold,TRUE,2020-08-13,2020-10-02,50
Car No-1191,Brand-B,Not Sold,FALSE,,,
Car No-1192,Brand-D,Sold,TRUE,2020-08-21,2020-11-24,95
Car No-1193,Brand-B,Sold,TRUE,2020-09-18,2021-02-10,145
Car No-1194,Brand-I,Sold,TRUE,2020-10-05,2020-12-20,76
Car No-1195,Brand-B,Sold,TRUE,2020-10-13,2021-01-30,109
Car No-1196,Brand-D,Not Sold,TRUE,2020-10-25,,
Car No-1197,Brand-D,Sold,TRUE,2020-11-24,2021-05-25,182
Car No-1198,Brand-B,Sold,TRUE,2020-12-04,2021-04-28,145
Car No-1199,Brand-B,Not Sold,TRUE,2020-12-15,,
Car No-1200,Brand-C,Sold,TRUE,2020-12-31,2021-04-08,98
Car No-1201,Brand-I,Sold,TRUE,2021-01-14,2021-04-10,86
Car No-1202,Brand-B,Sold,TRUE,2021-02-06,2021-04-28,81
Car No-1203,Brand-C,Sold,TRUE,2021-02-23,2021-04-22,58
Car No-1204,Brand-I,Not Sold,TRUE,2021-03-02,,
Car No-1205,Brand-K,Sold,TRUE,2021-03-06,2021-04-20,45
Car No-1206,Brand-F,Sold,TRUE,2021-03-12,2021-03-31,19
Car No-1207,Brand-F,Not Sold,TRUE,2021-03-17,,
Car No-1208,Brand-I,Sold,TRUE,2021-03-22,2021-04-22,31
Car No-1209,Brand-I,Not Sold,TRUE,2021-03-26,,
Car No-1210,Brand-B,Sold,TRUE,2021-03-31,2021-04-23,23
Car No-1211,Brand-B,Not Sold,TRUE,2021-04-03,,
Car No-1212,Brand-D,Not Sold,TRUE,2021-04-08,,
Car No-1213,Brand-J,Not Sold,TRUE,2021-04-12,,
Car No-1214,Brand-C,Not Sold,TRUE,2021-04-16,,
Car No-1215,Brand-C,Not Sold,TRUE,2021-04-22,,
